,ID,PROJECT_NAME,NAME,DURATION,CREATED,STARTED_BY,PASSED,FAILED,SKIPPED,BROKEN
161,10470,Dshops,KazanExpress/ke-auto-tests - Run Dshops Tests #test #284,0.6748666666666666,2023-04-14 05:28:44,system,1,0,0,0
162,10390,Dshops,KazanExpress/ke-auto-tests - Run Dshops Tests #test #283,0.6744333333333333,2023-04-13 05:29:32,system,1,0,0,0
163,10327,Dshops,KazanExpress/ke-auto-tests - Run Dshops Tests #test #282,0.7841166666666666,2023-04-12 05:28:10,system,1,0,0,0
164,10285,Dshops,KazanExpress/ke-auto-tests - Run Dshops Tests #test #281,0.9419166666666666,2023-04-11 05:27:01,system,1,0,0,0
165,10226,Dshops,KazanExpress/ke-auto-tests - Run Dshops Tests #test #280,0.7412833333333333,2023-04-10 05:27:57,system,1,0,0,0
166,10215,Dshops,KazanExpress/ke-auto-tests - Run Dshops Tests #test #279,1.2414999999999998,2023-04-09 05:24:31,system,0,1,0,0
167,10194,Dshops,KazanExpress/ke-auto-tests - Run Dshops Tests #test #278,0.7077666666666667,2023-04-08 05:26:12,system,1,0,0,0
168,10139,Dshops,KazanExpress/ke-auto-tests - Run Dshops Tests #test #277,0.70805,2023-04-07 05:01:50,system,1,0,0,0
169,10099,Dshops,KazanExpress/ke-auto-tests - Run Dshops Tests #test #276,0.70755,2023-04-06 05:03:41,system,1,0,0,0
170,10061,Dshops,KazanExpress/ke-auto-tests - Run Dshops Tests #test #275,0.6753,2023-04-05 04:58:28,system,1,0,0,0
171,10032,Dshops,KazanExpress/ke-auto-tests - Run Dshops Tests #test #274,0.7407666666666667,2023-04-04 05:14:25,system,1,0,0,0
172,9983,Dshops,KazanExpress/ke-auto-tests - Run Dshops Tests #test #273,1.2083833333333334,2023-04-03 05:35:29,system,0,1,0,0
173,9973,Dshops,KazanExpress/ke-auto-tests - Run Dshops Tests #test #272,1.2406499999999998,2023-04-02 05:41:35,system,0,1,0,0
174,9963,Dshops,KazanExpress/ke-auto-tests - Run Dshops Tests #test #271,0.6745666666666666,2023-04-01 05:03:57,system,1,0,0,0
175,9929,Dshops,KazanExpress/ke-auto-tests - Run Dshops Tests #test #270,1.1403,2023-03-31 05:09:04,system,0,1,0,0
176,9891,Dshops,KazanExpress/ke-auto-tests - Run Dshops Tests #test #269,0.7869499999999999,2023-03-30 05:14:54,system,1,0,0,0
177,9850,Dshops,KazanExpress/ke-auto-tests - Run Dshops Tests #test #268,0.7414333333333333,2023-03-29 05:20:18,system,1,0,0,0
178,9817,Dshops,KazanExpress/ke-auto-tests - Run Dshops Tests #test #267,0.6753833333333333,2023-03-28 08:38:31,system,1,0,0,0
179,9770,Dshops,KazanExpress/ke-auto-tests - Run Dshops Tests #test #266,0.6318333333333332,2023-03-27 05:07:19,system,1,0,0,0
180,8807,Customers: Web Uzum,KazanExpress/uz-auto-tests - Run Customers Tests #test #100,15.784833333333333,2023-02-21 17:17:15,system,13,11,246,0
181,8772,Customers: Web Uzum,KazanExpress/uz-auto-tests - Run Customers Tests #test #98,15.751816666666667,2023-02-21 01:04:33,system,13,11,247,0
182,8731,Customers: Web Uzum,KazanExpress/uz-auto-tests - Run Customers Tests #test #97,15.571433333333333,2023-02-20 01:04:47,system,13,11,247,0
183,8720,Customers: Web Uzum,KazanExpress/uz-auto-tests - Run Customers Tests #test #96,15.547949999999998,2023-02-19 01:04:38,system,13,11,246,0
184,8711,Customers: Web Uzum,KazanExpress/uz-auto-tests - Run Customers Tests #test #95,15.624583333333334,2023-02-18 01:04:35,system,13,11,245,0
185,8673,Customers: Web Uzum,KazanExpress/uz-auto-tests - Run Customers Tests #test #94,15.469566666666667,2023-02-17 01:04:41,system,13,11,247,0
186,8647,Customers: Web Uzum,KazanExpress/uz-auto-tests - Run Customers Tests #test #93,15.4511,2023-02-16 01:04:35,system,13,11,246,0
187,8602,Customers: Web Uzum,KazanExpress/uz-auto-tests - Run Customers Tests #test #92,9.3296,2023-02-15 01:04:46,system,19,5,247,0
